player,pos,salary,pred_perf
Stephen Curry,PG,"$12,112,359 ",2314.5
Steve Novak,SF,"$1,551,659 ",353.166666667
Steven Adams,C,"$3,140,517 ",1031.66666667
T.J. McConnell,PG,"$874,636 ",1075.0
T.J. Warren,SF,"$2,128,920 ",541.0
Taj Gibson,PF,"$8,950,000 ",1196.5
Tarik Black,C,"$6,191,000 ",942.0
Terrence Jones,PF,"$1,050,961 ",800.0
Terrence Ross,SG,"$10,000,000 ",1002.0
Terry Rozier,PG,"$1,906,440 ",160.0
Thabo Sefolosha,SG,"$3,850,000 ",798.833333333
Thaddeus Young,PF,"$14,153,652 ",2025.5
Thomas Robinson,PF,"$1,050,961 ",1001.0
Tiago Splitter,C,"$8,550,000 ",830.0
Tibor Pleiss,C,"$3,000,000 ",36.0
Tim Duncan,C,"$1,881,250 ",1845.5
Tim Frazier,PG,"$2,090,000 ",631.0
Tim Hardaway,SG,"$2,281,605 ",840.666666667
Timofey Mozgov,C,"$16,000,000 ",1063.83333333
Tobias Harris,SF,"$17,200,000 ",1787.2
Toney Douglas,SG,"$348,207 ",829.666666667
Toney Douglas,SG,"$154,758 ",829.666666667
Toney Douglas,SG,"$100,593 ",829.666666667
Tony Allen,SG,"$5,505,618 ",988.333333333
Tony Parker,PG,"$14,445,313 ",1639.16666667
Tony Snell,SG,"$2,368,327 ",595.666666667
Tony Wroten,SG,"$25,000 ",548.5
Trevor Ariza,SF,"$7,806,971 ",1390.16666667
Trevor Booker,PF,"$9,250,000 ",842.833333333
Trey Burke,PG,"$3,386,598 ",1259.0
Trey Lyles,PF,"$2,340,600 ",825.0
Tristan Thompson,PF,"$15,330,435 ",1478.4
Troy Daniels,SG,"$3,332,940 ",264.666666667
Ty Lawson,PG,"$1,315,448 ",1673.5
Tyler Ennis,PG,"$1,733,880 ",388.0
Tyler Johnson,SG,"$5,628,000 ",409.0
Tyler Zeller,C,"$8,000,000 ",957.25
Tyreke Evans,SG,"$10,661,286 ",1506.0
Tyson Chandler,C,"$12,415,000 ",1389.33333333
Tyus Jones,PG,"$1,339,680 ",312.0
Udonis Haslem,PF,"$4,000,000 ",485.166666667
Victor Oladipo,PG,"$6,552,960 ",1764.33333333
Vince Carter,SG,"$4,264,057 ",1356.83333333
Wayne Ellington,SG,"$6,000,000 ",797.666666667
Wayne Ellington,SG,"$923,670 ",797.666666667
Wesley Johnson,SG,"$5,628,000 ",954.0
Wesley Matthews,SG,"$17,100,000 ",1479.16666667
Will Barton,SG,"$3,533,333 ",968.0
Willie Cauley-Stein,C,"$3,551,160 ",920.0
Willie Reed,C,"$1,015,696 ",334.0
Wilson Chandler,SF,"$11,200,000 ",1443.0
Yi Jianlian,PF,"$250,000 ",385.0
Zach LaVine,PG,"$2,240,880 ",1349.5
Zach Randolph,PF,"$10,361,445 ",1844.33333333
Zaza Pachulia,C,"$2,898,000 ",996.333333333
