player	pos	tm	season	perf	salary
Clint Capela	C	['HOU', 'HOU']	['2014-15', '2015-16']	[75, 1174]	$1,296,240 
Cody Zeller	C	['CHA', 'CHO', 'CHO']	['2013-14', '2014-15', '2015-16']	[929, 955, 1216]	$5,318,313 
Cole Aldrich	C	['OKC', 'OKC', 'TOT, HOU, SAC', 'NYK', 'NYK', 'LAC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[61, 123, 468, 255, 794, 717]	$7,643,979 
Corey Brewer	SF-SG	['TOT, MIN, DAL', 'DEN', 'DEN', 'MIN', 'TOT, MIN, HOU', 'HOU']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1690, 796, 1388, 1416, 2778, 923]	$7,600,000 
Cory Joseph	PG	['SAS', 'SAS', 'SAS', 'SAS', 'TOR']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[115, 229, 570, 911, 1118]	$7,330,000 
Courtney Lee	SG	['HOU', 'HOU', 'BOS', 'TOT, BOS, MEM', 'MEM', 'TOT, MEM, CHO']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[989, 933, 971, 2166, 1115, 2286]	$11,242,000 
Cristiano Felicio	C	['CHI']	['2015-16']	[239]	$874,636 
D'Angelo Russell	PG	['LAL']	['2015-16']	[1504]	$5,332,800 
D.J. Augustin	PG	['CHA', 'CHA', 'IND', 'TOT, TOR, CHI', 'TOT, DET, OKC', 'TOT, OKC, DEN']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1803, 875, 586, 2608, 2396, 1436]	$7,250,000 
D.J. Kennedy	SF	['CLE']	['2011-12']	[21]	$50,000 
D.J. Stephens	SG	['MIL']	['2013-14']	[12]	$35,000 
Dahntay Jones	SG	['IND', 'IND', 'TOT, DAL, ATL', 'LAC', 'CLE']	['2010-11', '2011-12', '2012-13', '2014-15', '2015-16']	[377, 514, 802, 36, 23]	$18,255 
Damian Lillard	PG	['POR', 'POR', 'POR', 'POR']	['2012-13', '2013-14', '2014-15', '2015-16']	[2200, 2333, 2501, 2544]	$24,328,425 
Damjan Rudez	SF	['IND', 'MIN']	['2014-15', '2015-16']	[397, 97]	$980,431 
Danilo Gallinari	PF-SF	['TOT, NYK, DEN', 'DEN', 'DEN', 'DEN', 'DEN']	['2010-11', '2011-12', '2012-13', '2014-15', '2015-16']	[2748, 943, 1681, 1045, 1436]	$15,050,000 
Danny Green	SG	['SAS', 'SAS', 'SAS', 'SAS', 'SAS', 'SAS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[56, 954, 1275, 1001, 1542, 1084]	$10,000,000 
Dante Cunningham	PF	['TOT, POR, CHA', 'MEM', 'MIN', 'MIN', 'NOP', 'NOP']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1696, 663, 1236, 1001, 694, 831]	$2,978,250 
Dante Exum	PG	['UTA']	['2014-15']	[659]	$3,940,320 
Darrell Arthur	PF	['MEM', 'MEM', 'DEN', 'DEN', 'DEN']	['2010-11', '2012-13', '2013-14', '2014-15', '2015-16']	[1151, 578, 700, 637, 951]	$8,070,175 
Darren Collison	PG	['IND', 'IND', 'DAL', 'LAC', 'SAC', 'SAC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1574, 1044, 1541, 1372, 1089, 1472]	$5,229,454 
Darrun Hilliard	SG	['DET']	['2015-16']	[215]	$874,060 
David Lee	PF	['GSW', 'GSW', 'GSW', 'GSW', 'GSW', 'TOT, BOS, DAL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2085, 1781, 2506, 1969, 738, 1600]	$1,551,659 
David West	PF	['NOH', 'IND', 'IND', 'IND', 'IND', 'SAS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2002, 1420, 2012, 1885, 1417, 1037]	$1,551,659 
DeAndre Jordan	C	['LAC', 'LAC', 'LAC', 'LAC', 'LAC', 'LAC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1265, 1139, 1406, 2204, 2388, 2250]	$21,165,675 
DeAndre Liggins	SF	['ORL', 'OKC', 'MIA']	['2011-12', '2012-13', '2013-14']	[49, 133, 3]	$1,015,696 
DeMar DeRozan	SG	['TOR', 'TOR', 'TOR', 'TOR', 'TOR', 'TOR']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1845, 1335, 1958, 2385, 1638, 2421]	$26,540,100 
DeMarcus Cousins	C	['SAC', 'SAC', 'SAC', 'SAC', 'SAC', 'SAC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1931, 1963, 2163, 2601, 2317, 2653]	$16,957,900 
DeMarre Carroll	PF	['TOT, MEM, HOU', 'TOT, DEN, UTA', 'UTA', 'ATL', 'ATL', 'TOR']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[48, 360, 690, 1397, 1409, 457]	$14,200,000 
Delon Wright	PG	['TOR']	['2015-16']	[166]	$1,577,280 
Dennis Schroder	PG	['ATL', 'ATL', 'ATL']	['2013-14', '2014-15', '2015-16']	[292, 1152, 1328]	$2,708,582 
Deron Williams	PG	['TOT, UTA, NJN', 'NJN', 'BRK', 'BRK', 'BRK', 'DAL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[4200, 1686, 2199, 1438, 1496, 1411]	$9,000,000 
Deron Williams	PG	['TOT, UTA, NJN', 'NJN', 'BRK', 'BRK', 'BRK', 'DAL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[4200, 1686, 2199, 1438, 1496, 1411]	$5,500,000 
Deron Williams	PG	['TOT, UTA, NJN', 'NJN', 'BRK', 'BRK', 'BRK', 'DAL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[4200, 1686, 2199, 1438, 1496, 1411]	$259,626 
Derrick Favors	PF	['TOT, NJN, UTA', 'UTA', 'UTA', 'UTA', 'UTA', 'UTA']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2008, 1038, 1416, 1752, 1968, 1674]	$11,050,000 
