player,pos,salary,pred_perf
LaMarcus Aldridge,PF,"$20,575,005 ",2334.5
Lamar Patterson,SG,"$102,898 ",161
Lamar Patterson,SG,"$100,000 ",161
Lamar Patterson,SG,"$25,725 ",161
Lance Stephenson,SG,"$1,227,286 ",1003.166667
Lance Stephenson,SG,"$72,193 ",1003.166667
Lance Thomas,PF,"$6,191,000 ",518.4
Langston Galloway,PG,"$5,200,000 ",1017
Larry Sanders,C,"$1,865,547 ",677.6
Lavoy Allen,PF,"$4,000,000 ",876.6
LeBron James,SF,"$30,963,450 ",2878.666667
Leandro Barbosa,SG,"$4,000,000 ",764.6666667
Lou Amundson,PF,"$1,551,659 ",473.8333333
Lou Williams,SG,"$7,000,000 ",1213.333333
Luc Mbah a Moute,PF,"$2,203,000 ",785.6666667
Lucas Nogueira,C,"$1,921,320 ",74.5
Luis Scola,PF,"$5,000,000 ",1471
Luke Babbitt,SF,"$1,227,000 ",330.1666667
Luol Deng,SF,"$18,000,000 ",1897
Manu Ginobili,SG,"$14,000,000 ",1198.333333
Marc Gasol,C,"$21,165,675 ",1838
Marcelo Huertas,PG,"$1,500,000 ",462
Marcin Gortat,C,"$12,000,000 ",1999
Marco Belinelli,SG,"$6,333,333 ",1001.666667
Marcus Morris,PF,"$4,625,000 ",1231.6
Marcus Smart,PG,"$3,578,880 ",1003.5
Marcus Thornton,SG,"$1,315,448 ",1610.333333
Mario Hezonja,SF,"$3,909,840 ",722
Markieff Morris,PF,"$7,400,000 ",1614.6
Marreese Speights,C,"$1,403,611 ",1073
Martell Webster,SF,"$830,000 ",735.8
Marvin Williams,SF,"$12,250,000 ",1122.166667
Mason Plumlee,C,"$2,328,530 ",1280.666667
Matt Barnes,SF,"$6,125,000 ",1100.166667
Matthew Dellavedova,SG,"$9,607,500 ",748.6666667
Maurice Harkless,SF,"$8,988,764 ",814.5
Metta World Peace,SF,"$1,551,659 ",820.8
Meyers Leonard,C,"$9,213,484 ",587.25
Michael Beasley,SF,"$1,403,611 ",838
Michael Beasley,SF,"$777,777 ",838
Michael Carter-Williams,PG,"$3,183,526 ",2139
Michael Kidd-Gilchrist,SF,"$13,000,000 ",845.5
Mike Conley,PG,"$26,540,100 ",1668.333333
Mike Dunleavy,SG,"$4,837,500 ",1001
Mike Miller,SG,"$3,500,000 ",439.1666667
Mike Muscala,PF,"$1,015,696 ",283.3333333
Mike Scott,PF,"$3,333,334 ",728.5
Miles Plumlee,C,"$12,500,000 ",845.5
Miroslav Raduljica,C,"$300,000 ",158
Mirza Teletovic,PF,"$10,500,000 ",782.75
Mitch McGary,PF,"$1,526,040 ",212
Mo Williams,PG,"$2,200,000 ",1464.666667
Monta Ellis,SG,"$10,770,000 ",2372.833333
Montrezl Harrell,PF,"$1,000,000 ",227
Myles Turner,C,"$2,463,840 ",1036
Nate Wolters,PG,"$50,000 ",467
Nemanja Bjelica,PF,"$3,800,000 ",601
Nene Hilario,C,"$2,898,000 ",1361
Nerlens Noel,C,"$4,384,490 ",1541.5
Nick Collison,C,"$3,750,000 ",654.5
Nick Johnson,SG,"$980,431 ",115
Nick Young,SG,"$5,443,918 ",1141.833333
Nicolas Batum,SF,"$20,869,566 ",1620.5
Nik Stauskas,SG,"$2,993,040 ",689.5
Nikola Jokic,C,"$1,358,500 ",1570
Nikola Mirotic,PF,"$5,782,450 ",1297
Nikola Pekovic,C,"$12,100,000 ",881.3333333
Nikola Vucevic,C,"$11,750,000 ",1693
Noah Vonleh,PF,"$2,751,360 ",398
Norman Powell,SG,"$874,636 ",438
Norris Cole,PG,"$247,991 ",975.4
Omer Asik,C,"$9,904,494 ",958.6666667
Omri Casspi,SF,"$3,000,000 ",849.1666667
Otto Porter,SF,"$5,893,981 ",780.6666667
P.J. Hairston,SG,"$11,534 ",813.5
P.J. Tucker,SG,"$5,300,000 ",1291.75
Pablo Prigioni,PG,"$1,050,961 ",703.75
Pat Connaughton,SG,"$874,636 ",70
Patrick Beverley,PG,"$6,000,000 ",909
Patrick Patterson,PF,"$6,050,000 ",1342.333333
Patty Mills,PG,"$3,578,948 ",637
Pau Gasol,C,"$15,500,000 ",2112.5
Paul George,SG,"$18,314,532 ",1612.333333
Paul Millsap,PF,"$20,072,033 ",2100.666667
Paul Pierce,SF,"$3,500,000 ",1582.166667
Phil Pressey,PG,"$35,000 ",419.3333333
Quincy Acy,PF,"$1,790,902 ",596.75
Quincy Acy,PF,"$1,050,961 ",596.75
Quincy Acy,PF,"$123,642 ",596.75
Quincy Pondexter,SF,"$3,617,978 ",615.4
R.J. Hunter,SG,"$1,200,240 ",154
R.J. Hunter,SG,"$425,000 ",154
Rajon Rondo,PG,"$14,000,000 ",1629.333333
Rakeem Christmas,PF,"$1,052,342 ",5
Ramon Sessions,PG,"$6,000,000 ",1788.833333
Randy Foye,SG,"$2,500,000 ",1125
Rashad Vaughn,SG,"$1,811,040 ",361
Raul Neto,PG,"$937,800 ",725
Ray McCallum,PG,"$119,494 ",597
Ray McCallum,PG,"$11,949 ",597
Raymond Felton,PG-SG,"$1,551,659 ",1526.833333
Reggie Bullock,SF,"$2,255,644 ",221.6666667
Reggie Jackson,PG,"$14,956,522 ",1637
Reggie Williams,SF,"$180,483 ",354
Reggie Williams,SF,"$72,193 ",354
Reggie Williams,SF,"$50,000 ",354
Richard Jefferson,SF,"$2,500,000 ",963.6666667
Richaun Holmes,PF,"$1,025,831 ",482
Ricky Rubio,PG,"$13,550,000 ",1238.4
Robbie Hummel,SF,"$150,000 ",355
Robert Covington,SF,"$1,015,696 ",920.6666667
Robin Lopez,C,"$13,219,250 ",1193.5
Rodney Hood,SG,"$1,406,520 ",1111.5
Rodney Stuckey,PG,"$7,000,000 ",1227.833333
Rondae Hollis-Jefferson,SF,"$1,395,600 ",393
Ronnie Price,SG,"$2,557,545 ",336.6666667
Ronnie Price,SG,"$282,595 ",336.6666667
Ronnie Price,SG,"$182,548 ",336.6666667
Roy Hibbert,C,"$5,000,000 ",1531.833333
Rudy Gay,SF,"$13,333,333 ",2535.5
Rudy Gobert,C,"$2,121,288 ",1125.666667
Russell Westbrook,PG,"$26,540,100 ",2525
Ryan Anderson,PF,"$18,735,364 ",1310.666667
Ryan Kelly,PF,"$418,228 ",567
Ryan Kelly,PF,"$286,785 ",567
Salah Mejri,C,"$874,636 ",279
Sam Dekker,PF,"$1,720,560 ",2
Sasha Kaun,C,"$1,333,420 ",54
Sasha Vujacic,SG,"$1,410,598 ",821.3333333
Sean Kilpatrick,SG,"$980,431 ",429.5
Serge Ibaka,PF,"$12,250,000 ",1694.833333
Seth Curry,PG,"$2,898,000 ",143.3333333
Shabazz Muhammad,SG,"$3,046,299 ",679.3333333
Shabazz Napier,PG,"$1,350,120 ",400
Shaun Livingston,PG,"$5,782,450 ",969.8333333
Shelvin Mack,PG,"$2,433,334 ",752.6
Solomon Hill,SF,"$11,241,218 ",591.3333333
Spencer Dinwiddie,PG,"$726,672 ",191
Spencer Hawes,C,"$6,348,759 ",1482.666667
Stanley Johnson,SF,"$2,969,880 ",970
Stephen Curry,PG,"$12,112,359 ",2314.5
Steve Novak,SF,"$1,551,659 ",353.1666667
Steven Adams,C,"$3,140,517 ",1031.666667
T.J. McConnell,PG,"$874,636 ",1075
T.J. Warren,SF,"$2,128,920 ",541
Taj Gibson,PF,"$8,950,000 ",1196.5
Tarik Black,C,"$6,191,000 ",942
Terrence Jones,PF,"$1,050,961 ",800
Terrence Ross,SG,"$10,000,000 ",1002
Terry Rozier,PG,"$1,906,440 ",160
Thabo Sefolosha,SG,"$3,850,000 ",798.8333333
Thaddeus Young,PF,"$14,153,652 ",2025.5
Thomas Robinson,PF,"$1,050,961 ",1001
Tiago Splitter,C,"$8,550,000 ",830
Tibor Pleiss,C,"$3,000,000 ",36
Tim Duncan,C,"$1,881,250 ",1845.5
Tim Frazier,PG,"$2,090,000 ",631
Tim Hardaway,SG,"$2,281,605 ",840.6666667
Timofey Mozgov,C,"$16,000,000 ",1063.833333
Tobias Harris,SF,"$17,200,000 ",1787.2
Toney Douglas,SG,"$348,207 ",829.6666667
Toney Douglas,SG,"$154,758 ",829.6666667
Toney Douglas,SG,"$100,593 ",829.6666667
Tony Allen,SG,"$5,505,618 ",988.3333333
Tony Parker,PG,"$14,445,313 ",1639.166667
Tony Snell,SG,"$2,368,327 ",595.6666667
Tony Wroten,SG,"$25,000 ",548.5
Trevor Ariza,SF,"$7,806,971 ",1390.166667
Trevor Booker,PF,"$9,250,000 ",842.8333333
Trey Burke,PG,"$3,386,598 ",1259
Trey Lyles,PF,"$2,340,600 ",825
Tristan Thompson,PF,"$15,330,435 ",1478.4
Troy Daniels,SG,"$3,332,940 ",264.6666667
Ty Lawson,PG,"$1,315,448 ",1673.5
Tyler Ennis,PG,"$1,733,880 ",388
Tyler Johnson,SG,"$5,628,000 ",409
Tyler Zeller,C,"$8,000,000 ",957.25
Tyreke Evans,SG,"$10,661,286 ",1506
Tyson Chandler,C,"$12,415,000 ",1389.333333
Tyus Jones,PG,"$1,339,680 ",312
Udonis Haslem,PF,"$4,000,000 ",485.1666667
Victor Oladipo,PG,"$6,552,960 ",1764.333333
Vince Carter,SG,"$4,264,057 ",1356.833333
Wayne Ellington,SG,"$6,000,000 ",797.6666667
Wayne Ellington,SG,"$923,670 ",797.6666667
Wesley Johnson,SG,"$5,628,000 ",954
Wesley Matthews,SG,"$17,100,000 ",1479.166667
Will Barton,SG,"$3,533,333 ",968
Willie Cauley-Stein,C,"$3,551,160 ",920
Willie Reed,C,"$1,015,696 ",334
Wilson Chandler,SF,"$11,200,000 ",1443
Yi Jianlian,PF,"$250,000 ",385
Zach LaVine,PG,"$2,240,880 ",1349.5
Zach Randolph,PF,"$10,361,445 ",1844.333333
Zaza Pachulia,C,"$2,898,000 ",996.3333333
